region,students2017,faculty2017,ratio2017,students2018,faculty2018,ratio2018
ARMM,48738,2075,23.488192771084336,47218,2108,22.39943074003795
Bicol Region,70201,2955,23.75668358714044,57321,2451,23.386780905752754
CALABARZON,132538,4019,32.97785518785768,108368,3781,28.661200740544828
Cagayan Valley,80639,2817,28.625843095491657,59456,2567,23.161667315932995
Caraga,31734,1165,27.239484978540773,28284,1059,26.708215297450426
Central Luzon,167118,4543,36.78582434514638,123615,4480,27.592633928571427
Central Visayas,64978,2240,29.008035714285715,58138,2105,27.619002375296912
Davao Region,32112,771,41.64980544747082,28415,828,34.317632850241544
Eastern Visayas,100968,3967,25.451978825308796,86557,3998,21.65007503751876
Ilocos Region,67358,2814,23.936744847192607,56437,2516,22.431240063593005
MIMAROPA,60901,2465,24.70628803245436,46425,2322,19.993540051679588
National Capital Region,214248,8531,25.114054624311336,189139,8335,22.692141571685664
Northern Mindanao,30535,1644,18.573600973236008,22834,1351,16.901554404145077
Soccsksargen,40790,1287,31.693861693861695,35977,1233,29.178426601784267
Western Visayas,78843,3468,22.734429065743946,65864,3103,21.22591040928134
Zamboanga Peninsula,71920,3843,18.71454592766068,64074,3606,17.768718801996673
